CommandId	Path	Id	CanHaveBinding
ID_GEO_PUBLISH_COORDINATES	Manage-Project Location-Coordinates-Publish Coordinates	33869	True
ID_SPECIFY_SHARED_COORDINATES	Manage-Project Location-Coordinates-Specify Coordinates at Point	3266	True
ID_REPORT_SHARED_COORDINATES	Manage-Project Location-Coordinates-Report Shared Coordinates	33865	True
ID_RELOCATE_SHARED_COORDINATES	Manage-Project Location-Position-Relocate Project	33856	True
ID_ROTATE_SHARED_COORDINATES	Manage-Project Location-Position-Rotate True North	33857	True
ID_MIRROR_PROJECT	Manage-Project Location-Position-Mirror Project	32919	True
ID_ROTATE_PROJECT	Manage-Project Location-Position-Rotate Project North	32920	True
ID_TOOLS_MACROS	Manage-Macros-Macro Manager	35602	True
ID_TOOLS_MACROSECURITY	Manage-Macros-Macro Security	35603	True
ID_OBJECTS_FAMSYM	Home-Model-Component-Place a Component	33003	True
ID_INPLACE_COMPONENT	Home-Model-Component-Model In_Place	33544	True
ID_REBAR_PLACE_PERPENDICULAR	Home-Reinforcement-Rebar-Place Rebar Perpendicular to Work Plane	35320	True
ID_REBAR_PLACE_PARALLEL	Home-Reinforcement-Rebar-Place Rebar Parallel to Work Plane	35318	True
ID_REBAR_SYSTEM_SKETCH	Home-Reinforcement-Area	46932	True
ID_PATH_REIN_SKETCH	Home-Reinforcement-Path	35225	True
ID_CONCRETE_COVER	Home-Reinforcement-Cover	48583	True
ID_REBAR_COVER_SETTINGS	Home-Reinforcement-Rebar Cover Settings	35003	True
ID_REBAR_ABBREVIATION	Home-Reinforcement-Abbreviations	35300	True
ID_OBJECTS_BEAM	Home-Structure-Beam	34972	True
ID_OBJECTS_STRUCTURAL_WALL	Home-Structure-Wall-Structural Wall	34975	True
ID_OBJECTS_WALL	Home-Structure-Wall-Partition Wall	32771	True
ID_OBJECTS_CORNICE	Home-Structure-Wall-Wall Sweep	33655	True
ID_OBJECTS_REVEAL	Home-Structure-Wall-Reveal	33654	True
