219 categories and their parents:
  OST_LightingFixturesHiddenLines --> Hidden Lines (-2009519
  OST_FurnitureSystemsHiddenLines --> Hidden Lines (-2009518
  OST_ElectricalFixturesHiddenLines --> Hidden Lines (-2009517
  OST_ElectricalEquipmentHiddenLines --> Hidden Lines (-2009516
  OST_CaseworkHiddenLines --> Hidden Lines (-2009515
  OST_DetailComponentsHiddenLines --> Hidden Lines (-2009514
  OST_ShaftOpeningHiddenLines --> Hidden Lines (-2009513
  OST_GenericModelHiddenLines --> Hidden Lines (-2009512
  OST_CurtainWallMullionsHiddenLines --> Hidden Lines (-2009511
  OST_CurtainWallPanelsHiddenLines --> Hidden Lines (-2009510
  OST_RampsHiddenLines --> Hidden Lines (-2009509
  OST_StairsRailingHiddenLines --> Hidden Lines (-2009508
  OST_StairsHiddenLines --> Hidden Lines (-2009507
  OST_ColumnsHiddenLines --> Hidden Lines (-2009506
  OST_FurnitureHiddenLines InvalidOperationException 
  OST_LinesHiddenLines --> Hidden Lines (-2009504
  OST_CeilingsHiddenLines --> Hidden Lines (-2009503
  OST_RoofsHiddenLines --> Hidden Lines (-2009502
  OST_DoorsHiddenLines --> Hidden Lines (-2009501
  OST_WindowsHiddenLines --> Hidden Lines (-2009500
  OST_StructConnectionTags --> Structural Connection Tags (-2009040
  OST_StructWeldLines <none>
  OST_StructConnections --> Structural Connections (-2009030
  OST_RebarSetToggle --> Rebar Set Toggle (-2009025
  OST_AreaReinTags --> Structural Area Reinforcement Tags (-2009021
  OST_RebarTags --> Structural Rebar Tags (-2009020
  OST_RebarCover --> Concrete Cover References (-2009015
  OST_CoverType <none>
  OST_RebarShape --> Rebar Shape (-2009013
  OST_PathReinBoundary --> Boundary (-2009012
  OST_PathReinTags --> Structural Path Reinforcement Tags (-2009011
  OST_PathReinSpanSymbol --> Structural Path Reinforcement Symbols (-2009010
  OST_PathRein --> Structural Path Reinforcement (-2009009
  OST_Cage <none>
  OST_AreaReinXVisibility <none>
  OST_AreaReinBoundary --> Boundary (-2009006
  OST_AreaReinSpanSymbol --> Structural Area Reinforcement Symbols (-2009005
  OST_AreaReinSketchOverride <none>
  OST_AreaRein --> Structural Area Reinforcement (-2009003
  OST_RebarLines <none>
  OST_RebarSketchLines <none>
  OST_Rebar --> Structural Rebar (-2009000
  OST_ElectricalInternalCircuits --> Electrical Circuits (-2008152
  OST_PanelScheduleGraphics --> Panel Schedule Graphics (-2008151
  OST_CableTrayRun --> Cable Tray Runs (-2008150
  OST_ConduitRun --> Conduit Runs (-2008149
  OST_ParamElemElectricalLoadClassification <none>
  OST_DataPanelScheduleTemplates <none>
  OST_SwitchboardScheduleTemplates <none>
  OST_BranchPanelScheduleTemplates <none>
  OST_ConduitStandards <none>
  OST_ElectricalLoadClassifications <none>
  OST_ElectricalDemandFactorDefinitions <none>
  OST_ConduitFittingCenterLine --> Center line (-2008141
